Descriptor,Media,Sdev,Mediana,Percentil10,Percentil90
depth[m],560.59,5.46,561.04,558.39,565.7
clip[usec],484.59,150.73,452.0,330.4,696.8
msec,0.49,0.3,0.47,0.11,0.92
low_i,41.22,24.17,35.5,17.0,74.9
high_i,143.64,33.51,137.5,105.0,184.3
energy[%],86.92,11.89,91.27,71.03,97.6
SNR[dB],7.68,6.41,7.65,-0.16,15.82
Fp[kHz],114.85,15.65,116.0,112.8,122.4
Fc[kHz],110.01,11.15,112.03,99.55,120.99
RMS[kHz],24.7,11.66,22.98,10.98,41.65
Qrms,5.81,3.35,4.81,2.43,11.0
Fs[kHz],512.0,0.0,512.0,512.0,512.0
slope_max_wvd,-0.04,0.11,-0.01,-0.13,0.01
