id,label,depth
1,Kogia-D,566.24
2,Kogia-B,566.18
3,Kogia-E,566.21
4,Kogia-A,566.22
5,Kogia-B,566.11
6,Kogia-C,566.12
7,Kogia-C,566.1
8,Kogia-C,566.15
9,Kogia-C,566.13
10,Kogia-C,566.05
11,Kogia-C,566.11
12,Kogia-C,566.08
13,Kogia-C,566.05
14,Kogia-C,566.02
15,Kogia-C,566.02
16,Kogia-C,565.21
17,Kogia-C,565.23
18,Kogia-B,565.17
19,Kogia-A,565.15
20,Kogia-A,565.13
21,Kogia-C,565.17
22,Kogia-C,565.09
23,Kogia-B,565.05
24,Kogia-B,565.04
25,Kogia-C,565.02
26,Kogia-A,565.06
27,Kogia-C,565.0
28,Kogia-C,564.97
29,Kogia-C,564.95
30,Kogia-A,564.89
31,Kogia-A,564.9
32,Kogia-C,564.91
33,Kogia-C,564.87
34,Kogia-C,564.87
35,Kogia-C,564.85
36,Kogia-C,564.73
37,Kogia-B,564.73
38,Kogia-C,564.69
39,Kogia-B,564.71
40,Kogia-C,564.67
41,Kogia-C,563.0
42,Kogia-C,562.98
43,Kogia-C,562.99
44,Kogia-C,562.98
45,Kogia-C,562.95
46,Kogia-C,563.0
47,Kogia-C,562.98
48,Kogia-C,562.29
49,Kogia-C,562.24
50,Kogia-C,562.24
51,Kogia-C,562.18
52,Kogia-A,562.15
53,Kogia-A,562.17
54,Kogia-A,562.13
55,Kogia-B,562.08
56,Kogia-C,562.16
57,Kogia-C,562.12
58,Kogia-C,562.07
59,Kogia-C,562.09
60,Kogia-C,562.09
61,Kogia-B,561.86
62,Kogia-B,561.81
63,Kogia-B,561.78
64,Kogia-C,561.8
65,Kogia-C,561.81
66,Kogia-B,561.66
67,Kogia-C,561.63
68,Kogia-C,561.59
69,Kogia-C,561.11
70,Kogia-C,561.04
71,Kogia-C,561.0
72,Kogia-C,561.04
73,Kogia-C,561.0
74,Kogia-B,560.94
75,Kogia-B,561.02
76,Kogia-B,560.97
77,Kogia-C,560.86
78,Kogia-C,560.82
79,Kogia-C,560.59
80,Kogia-C,560.63
81,Kogia-C,560.58
82,Kogia-C,560.53
83,Kogia-C,560.5
84,Kogia-C,560.53
85,Kogia-C,560.49
86,Kogia-B,560.47
87,Kogia-A,560.49
88,Kogia-A,560.47
89,Kogia-A,560.4
90,Kogia-A,560.42
91,Kogia-A,560.44
92,Kogia-A,560.38
93,Kogia-B,560.35
94,Kogia-C,560.39
95,Kogia-C,560.32
96,Kogia-C,560.29
97,Kogia-C,560.27
98,Kogia-C,560.31
99,Kogia-C,560.31
100,Kogia-C,560.33
101,Kogia-C,560.27
102,Kogia-C,560.25
103,Kogia-C,560.24
104,Kogia-C,560.32
105,Kogia-C,560.25
106,Kogia-C,560.23
107,Kogia-C,560.25
108,Kogia-C,560.29
109,Kogia-C,560.26
110,Kogia-C,560.26
111,Kogia-C,560.3
112,Kogia-C,560.27
113,Kogia-B,559.23
114,Kogia-B,559.16
115,Kogia-C,559.21
116,Kogia-C,559.09
117,Kogia-C,559.04
118,Kogia-C,559.1
119,Kogia-C,558.38
120,Kogia-C,558.43
121,Kogia-C,558.4
122,Kogia-C,558.4
123,Kogia-B,555.86
124,Kogia-A,555.88
125,Kogia-A,555.8
126,Kogia-B,555.81
127,Kogia-B,555.77
128,Kogia-B,555.75
129,Kogia-B,555.65
130,Kogia-A,552.7
131,Kogia-A,552.67
132,Kogia-A,552.73
133,Kogia-A,552.69
