Descriptor,Media,Sdev,Mediana,Percentil10,Percentil90
depth[m],552.62,6.9,551.18,545.96,563.0
clip[usec],1238.11,667.3,1200.5,429.2,2074.9
msec,0.51,0.3,0.5,0.1,0.91
low_i,84.74,58.76,69.0,24.0,172.0
high_i,192.73,71.3,175.0,121.0,299.0
energy[%],95.96,7.6,98.73,89.81,99.63
SNR[dB],19.74,8.07,21.3,6.96,28.38
Fp[kHz],122.1,10.02,122.4,114.0,133.6
Fc[kHz],120.53,8.5,123.91,111.04,126.84
RMS[kHz],14.59,9.29,12.4,5.41,25.86
Qrms,11.79,7.0,10.09,4.38,23.02
Fs[kHz],512.0,0.0,512.0,512.0,512.0
slope_max_wvd,-0.0,0.07,-0.01,-0.04,0.06
