Descriptor,Media,Sdev,Mediana,Percentil10,Percentil90
depth[m],549.74,4.3,548.36,545.97,552.61
clip[usec],1609.24,543.78,1540.0,956.3,2294.9
msec,0.52,0.3,0.52,0.1,0.9
low_i,105.93,61.15,95.0,33.0,187.0
high_i,214.25,76.13,203.5,125.3,323.7
energy[%],98.8,0.97,99.04,97.46,99.64
SNR[dB],23.88,3.84,23.46,19.1,29.53
Fp[kHz],125.01,6.08,123.6,120.4,136.0
Fc[kHz],124.29,3.09,124.61,122.17,127.57
RMS[kHz],12.36,5.82,11.98,4.94,22.03
Qrms,12.84,6.9,10.39,5.83,24.08
Fs[kHz],512.0,0.0,512.0,512.0,512.0
slope_max_wvd,0.01,0.05,-0.0,-0.03,0.1
