Descriptor,Media,Sdev,Mediana,Percentil10,Percentil90
depth[m],552.43,8.22,546.48,544.3,564.72
clip[usec],761.2,137.74,754.0,594.5,908.3
msec,0.54,0.3,0.54,0.14,0.93
low_i,52.67,22.05,53.5,24.6,75.7
high_i,168.3,37.36,164.0,120.9,217.9
energy[%],98.01,1.81,98.69,95.36,99.56
SNR[dB],20.87,3.66,21.29,16.11,25.24
Fp[kHz],120.76,4.97,122.0,114.12,127.2
Fc[kHz],120.74,5.1,122.22,113.89,126.78
RMS[kHz],7.87,2.72,7.25,5.41,12.09
Qrms,17.0,5.27,16.74,9.95,23.02
Fs[kHz],512.0,0.0,512.0,512.0,512.0
slope_max_wvd,-0.0,0.02,-0.0,-0.02,0.01
